id,type,frame,magnitude,map,path
diableavionics_module_attack_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_attack.png
diableavionics_module_defense_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_defense.png
diableavionics_module_fighter_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_fighter.png
diableavionics_module_missile_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_missile.png
diableavionics_module_ecm_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_ecm.png
diableavionics_module_wanzer_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_wanzer.png
diableavionics_module_tip_lock,ship,,2,normal,graphics/da/maps/ships/diableavionics_station_bastion.png
,,,,,
diableavionics_versant_barrel_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_gunLeft.png
diableavionics_versant_barrel_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_gunRight.png
diableavionics_versant_bit_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_bitLeft.png
diableavionics_versant_bit_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_bitRight.png
diableavionics_versant_door_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_doorLeft.png
diableavionics_versant_door_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_doorRight.png
diableavionics_versant_panel_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_panelLeft.png
diableavionics_versant_panel_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_panelRight.png
diableavionics_versant_prong_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_prongLeft.png
diableavionics_versant_prong_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_prongRight.png
diableavionics_versant_shield_LEFT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_shieldLeft.png
diableavionics_versant_shield_RIGHT,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_shieldRight.png
diableavionics_versant_slots,turret,,2,normal,graphics/da/maps/ships/versant/diableavionics_versant_slots.png
diableavionics_station_deepStrike,turret,,2,normal,graphics/da/maps/ships/diableavionics_station_deepStrike.png
,,,,,
,,,,,
diableavionics_virtuous_skirmisher,ship,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_body.png
,,,,,
diableavionics_virtuous_armA_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armA_L.png
diableavionics_virtuous_armA_L,turretbarrel,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armA_LB.png
diableavionics_virtuous_armA_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armA_R.png
diableavionics_virtuous_armA_R,turretbarrel,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armA_RB.png
diableavionics_virtuous_armB_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armB_L.png
diableavionics_virtuous_armB_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armB_R.png
diableavionics_virtuous_armC_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armC_L.png
diableavionics_virtuous_armC_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armC_R.png
diableavionics_virtuous_armD_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_L.png
diableavionics_virtuous_armD_L,turretbarrel,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_LB.png
diableavionics_virtuous_armD_R,turret,0,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R00.png
diableavionics_virtuous_armD_R,turret,1,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R01.png
diableavionics_virtuous_armD_R,turret,2,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R02.png
diableavionics_virtuous_armD_R,turret,3,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R03.png
diableavionics_virtuous_armD_R,turret,4,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R04.png
diableavionics_virtuous_armD_R,turret,5,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R05.png
diableavionics_virtuous_armD_R,turret,6,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R06.png
diableavionics_virtuous_armD_R,turret,7,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_R07.png
diableavionics_virtuous_armD_R,turretbarrel,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_armD_RB.png
,,,,,
diableavionics_virtuous_headA,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_headA.png
diableavionics_virtuous_headB,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_headB.png
diableavionics_virtuous_headC,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_headC.png
diableavionics_virtuous_headC,turretbarrel,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_headCB.png
diableavionics_virtuous_headD,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_headD.png
,,,,,
diableavionics_virtuous_pauldronA_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronA_L.png
diableavionics_virtuous_pauldronA_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronA_R.png
diableavionics_virtuous_pauldronB_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronB_L.png
diableavionics_virtuous_pauldronB_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronB_R.png
diableavionics_virtuous_pauldronC_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronC_L.png
diableavionics_virtuous_pauldronC_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronC_R.png
diableavionics_virtuous_pauldronD_L,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronD_L.png
diableavionics_virtuous_pauldronD_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_pauldronD_R.png
,,,,,
diableavionics_virtuous_shoulderL,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_shoulderL.png
diableavionics_virtuous_shoulderA_R,turret,,2,normal,graphics/da/maps/ships/diableavionics_virtuous_shoulderR.png
